MBTI,Trait,Weight
ENFP,사려 깊은,0.81
ENFP,긍정적인,0.8
ENFP,재치 있는,0.79
ENFP,자기 표현이 강한,0.78
ENFP,비전이 있는,0.77
ENFP,협력적인,0.76
ENFP,다양성을 존중하는,0.75
ENFP,자발적인,0.74
ENFP,상상력이 풍부한,0.73
ENFP,사람 중심의,0.72
ENFP,열린 소통을 하는,0.71
ENFP,비판적인 사고를 하는,0.7
ENFP,자기 주도적인,0.69
ENFP,감정적으로 연결되는,0.68
ENFP,변화에 잘 적응하는,0.67
ENFP,자신감 있는,0.66
ENFP,사람들에게 영감을 주는,0.65
ENFP,다양한 아이디어를 제시하는,0.64
ENFP,자신의 가치관을 중시하는,0.63
ENFP,상대방을 이해하려는,0.62
ENFP,자신의 감정을 솔직하게 표현하는,0.61
ENFP,긍정적인 변화를 추구하는,0.6
ENFP,자신의 직관을 믿는,0.59
ENFP,다양한 경험을 추구하는,0.58
ENFP,자신의 감정을 잘 이해하는,0.57
ENFP,사람들과의 관계를 중시하는,0.56
ENFP,자신의 목표를 향해 나아가는,0.55
ENFP,자신의 감정을 잘 표현하는,0.54
ENFP,자신의 직관을 따르는,0.53
ENFP,사람들에게 긍정적인 영향을 미치는,0.52
ENFP,자신의 가치관을 지키는,0.51
ENFP,자신의 감정을 솔직하게 드러내는,0.5
ENFP,사람들과의 소통을 즐기는,0.49
ENFP,자신의 아이디어를 실현하려는,0.48
ENFP,자신의 감정을 잘 관리하는,0.47
ENFP,사람들에게 긍정적인 에너지를 주는,0.46
ENFP,자신의 목표를 명확히 하는,0.45
ENFP,자신의 감정을 잘 이해하는,0.44
ENFP,사람들과의 관계를 소중히 여기는,0.43
ENFP,자신의 직관을 신뢰하는,0.42
ENFJ,사교적,1.0
ENFJ,동정심이 많음,0.95
ENFJ,리더십,0.93
ENFJ,열정적,0.92
ENFJ,이해심이 깊음,0.9
ENFJ,조직적,0.88
ENFJ,영감을 주는,0.87
ENFJ,협력적,0.85
ENFJ,사려 깊음,0.84
ENFJ,긍정적,0.83
ENFJ,신뢰할 수 있음,0.82
ENFJ,창의적,0.81
ENFJ,열린 마음,0.8
ENFJ,사람 중심적,0.79
ENFJ,감정적으로 지지적,0.78
ENFJ,비전이 있음,0.77
ENFJ,적극적,0.76
ENFJ,조화로운,0.75
ENFJ,신중함,0.74
ENFJ,유연함,0.73
ENFJ,사람들을 격려함,0.72
ENFJ,이해하기 쉬움,0.71
ENFJ,감정적으로 연결됨,0.7
ENFJ,사람들의 필요를 이해함,0.69
ENFJ,자신감 있음,0.68
ENFJ,비판적 사고,0.67
ENFJ,상대방을 존중함,0.66
ENFJ,사람들을 돕고 싶어함,0.65
ENFJ,적응력이 뛰어남,0.64
ENFJ,사람들과의 관계를 중시함,0.63
ENFJ,감정적으로 지혜로움,0.62
ENFJ,사람들에게 영감을 줌,0.61
ENFJ,사회적 책임감,0.6
ENFJ,자기 반성적,0.59
ENFJ,상대방의 감정을 고려함,0.58
ENFJ,사람들을 이해하려고 노력함,0.57
ENFJ,사람들에게 긍정적인 영향을 미침,0.56
ENFJ,자신의 감정을 잘 표현함,0.55
ENFJ,사람들과의 소통을 중요시함,0.54
ENFJ,상대방의 의견을 존중함,0.53
ENFJ,사람들에게 힘을 주는,0.52
ENFJ,사회적 상호작용을 즐김,0.51
ENFJ,사람들의 감정을 잘 이해함,0.5
ENFJ,사람들에게 긍정적인 피드백을 줌,0.49
ENFJ,사람들을 격려하는 능력,0.48
ENFJ,사람들과의 관계를 깊이 있게 발전시킴,0.47
ENFJ,사람들의 잠재력을 발견함,0.46
ENFJ,사람들에게 도움을 주는 것에 기쁨을 느낌,0.45
ENFJ,사람들과의 관계를 소중히 여김,0.44
ENFJ,사람들에게 긍정적인 변화를 가져옴,0.43
INTP,논리적 사고,1.0
INTP,창의성,0.95
INTP,독립성,0.93
INTP,호기심,0.92
INTP,분석적,0.9
INTP,비판적 사고,0.88
INTP,유연성,0.87
INTP,이론적 사고,0.85
INTP,내향성,0.83
INTP,객관성,0.82
INTP,자유로운 사고,0.8
INTP,비전,0.78
INTP,탐구심,0.77
INTP,비구조적 사고,0.75
INTP,지적 호기심,0.73
INTP,상상력,0.72
INTP,문제 해결 능력,0.7
INTP,비판적 분석,0.68
INTP,자기주도적,0.67
INTP,개인적 가치,0.65
INTP,비교적 조용함,0.63
INTP,이해력,0.62
INTP,자기 반성,0.6
INTP,관찰력,0.58
INTP,추상적 사고,0.57
INTP,논쟁을 좋아함,0.55
INTP,자유로운 표현,0.53
INTP,비판적 질문,0.52
INTP,지식 추구,0.5
INTP,비전통적 사고,0.48
INTP,자기 인식,0.47
INTP,사고의 깊이,0.45
INTP,상황 분석,0.43
INTP,이해관계 무관심,0.42
INTP,비판적 수용,0.4
INTP,지식 공유,0.38
INTP,자기 개선,0.37
INTP,비판적 수용,0.35
INTP,지적 대화 선호,0.33
INTP,자기 주도적 학습,0.32
INTP,비판적 사고 능력,0.3
INTP,이론적 탐구,0.28
INTP,자기 표현,0.27
INTP,비판적 관점,0.25
INTP,지적 자극 추구,0.23
INTP,자기 주도적 연구,0.22
INTP,비판적 사고 훈련,0.2
INTP,지식의 깊이,0.18
INTP,자기 탐구,0.17
INTP,비판적 사고의 중요성 인식,0.15
INTJ,전략적 사고,1.0
INTJ,독립성,0.95
INTJ,분석적,0.93
INTJ,결단력,0.92
INTJ,창의성,0.9
INTJ,비판적 사고,0.89
INTJ,미래 지향적,0.88
INTJ,계획성,0.87
INTJ,지식 추구,0.86
INTJ,자기 주도적,0.85
INTJ,논리적,0.84
INTJ,고립적,0.83
INTJ,목표 지향적,0.82
INTJ,신중함,0.81
INTJ,자신감,0.8
INTJ,객관적,0.79
INTJ,혁신적,0.78
INTJ,이해력,0.77
INTJ,조직적,0.76
INTJ,비전 제시,0.75
INTJ,자기 반성,0.74
INTJ,고차원적 사고,0.73
INTJ,신념이 강함,0.72
INTJ,효율성,0.71
INTJ,자기 개선,0.7
INTJ,문제 해결 능력,0.69
INTJ,지속적인 학습,0.68
INTJ,비즈니스 감각,0.67
INTJ,자율성,0.66
INTJ,고립된 성향,0.65
INTJ,신뢰성,0.64
INTJ,정확성,0.63
INTJ,자기 표현,0.62
INTJ,결과 지향적,0.61
INTJ,자기 통제,0.6
INTJ,비판 수용,0.59
INTJ,상상력,0.58
INTJ,사회적 거리,0.57
INTJ,신중한 결정,0.56
INTJ,자기 인식,0.55
INTJ,지식 공유,0.54
INTJ,자기 주도 학습,0.53
INTJ,정신적 강인함,0.52
INTJ,비판적 분석,0.51
INTJ,자기 효능감,0.5
INTJ,조화 추구,0.49
INTJ,지속 가능성,0.48
INTJ,자기 동기 부여,0.47
INTJ,상황 판단,0.46
INTJ,지식 기반,0.45
INTJ,자기 관리,0.44
INTJ,비전 실현,0.43
INTJ,자기 발전,0.42
INFP,이상주의,1.0
INFP,감정적,0.95
INFP,창의적,0.93
INFP,개인주의적,0.92
INFP,공감 능력,0.9
INFP,내향적,0.88
INFP,유연성,0.87
INFP,자기 반성적,0.85
INFP,이해심,0.84
INFP,열정적,0.83
INFP,상상력이 풍부한,0.82
INFP,비판적 사고,0.81
INFP,신중함,0.8
INFP,자유로운 영혼,0.79
INFP,이해하기 쉬운,0.78
INFP,사려 깊은,0.77
INFP,인내심,0.76
INFP,자기 표현,0.75
INFP,이상적인,0.74
INFP,감수성,0.73
INFP,사람 중심,0.72
INFP,비전이 있는,0.71
INFP,신념이 강한,0.7
INFP,조화로운,0.69
INFP,자기 주도적,0.68
INFP,사교적,0.67
INFP,이해심 많은,0.66
INFP,감정적으로 지지하는,0.65
INFP,자기 비판적,0.64
INFP,신뢰할 수 있는,0.63
INFP,사려 깊은,0.62
INFP,자기 발견,0.61
INFP,비판에 민감한,0.6
INFP,상상력이 뛰어난,0.59
INFP,감정적으로 깊은,0.58
INFP,자기 수용,0.57
INFP,자기 성찰,0.56
INFP,자기 표현이 강한,0.55
INFP,비전이 있는,0.54
INFP,자기 주도적인,0.53
INFP,사람을 이해하는,0.52
INFP,감정적으로 연결된,0.51
INFP,자기 비판적인,0.5
INFP,신념이 있는,0.49
INFP,사람을 배려하는,0.48
INFP,자기 발견을 중시하는,0.47
INFP,비판에 민감한,0.46
INFP,상상력이 풍부한,0.45
INFP,감정적으로 깊은,0.44
INFP,자기 수용적인,0.43
INFP,자기 성찰적인,0.42
INFJ,이해심,1.0
INFJ,직관적,0.95
INFJ,이상주의,0.93
INFJ,공감 능력,0.92
INFJ,창의적,0.9
INFJ,신중함,0.88
INFJ,열정적,0.87
INFJ,사려 깊음,0.85
INFJ,비판적 사고,0.84
INFJ,인내심,0.83
INFJ,이타적,0.82
INFJ,조화 추구,0.81
INFJ,신뢰성,0.8
INFJ,감정적 깊이,0.79
INFJ,자기 성찰,0.78
INFJ,비전 제시,0.77
INFJ,사람 중심,0.76
INFJ,유연성,0.75
INFJ,결단력,0.74
INFJ,조직적,0.73
INFJ,신념,0.72
INFJ,감정 표현,0.71
INFJ,자율성,0.7
INFJ,상상력,0.69
INFJ,사람에 대한 관심,0.68
INFJ,문제 해결 능력,0.67
INFJ,신중한 결정,0.66
INFJ,자기 주도적,0.65
INFJ,사회적 책임감,0.64
INFJ,감정적 지능,0.63
INFJ,비판적 수용,0.62
INFJ,관계 형성 능력,0.61
INFJ,자기 표현,0.6
INFJ,신뢰 구축,0.59
INFJ,상대방 배려,0.58
INFJ,목표 지향적,0.57
INFJ,정서적 안정성,0.56
INFJ,자기 개발,0.55
INFJ,비전 실현,0.54
INFJ,협력적,0.53
INFJ,정직함,0.52
INFJ,신념 강함,0.51
INFJ,상대방 이해,0.5
INFJ,창의적 문제 해결,0.49
INFJ,감정적 지원,0.48
INFJ,사회적 민감성,0.47
INFJ,자기 인식,0.46
INFJ,비전 공유,0.45
INFJ,정서적 연결,0.44
INFJ,자기 수용,0.43
INFJ,인간관계 중시,0.42
INFJ,긍정적 사고,0.41
ESTP,모험심,1.0
ESTP,즉흥적,0.95
ESTP,사교적,0.93
ESTP,실용적,0.92
ESTP,활동적,0.9
ESTP,자신감,0.88
ESTP,문제 해결 능력,0.87
ESTP,직관적,0.85
ESTP,경쟁심,0.84
ESTP,유연성,0.83
ESTP,즉각적인 반응,0.82
ESTP,현실적,0.81
ESTP,자유로운 영혼,0.8
ESTP,호기심,0.79
ESTP,사고가 빠름,0.78
ESTP,자기주장,0.77
ESTP,사실 중심,0.76
ESTP,재치,0.75
ESTP,즉각적인 결정,0.74
ESTP,다양한 경험 추구,0.73
ESTP,자신의 감정 표현,0.72
ESTP,사람들과의 연결,0.71
ESTP,위험 감수,0.7
ESTP,자기 중심적,0.69
ESTP,상황 적응력,0.68
ESTP,즉각적인 피드백 선호,0.67
ESTP,자유로운 사고,0.66
ESTP,비판적 사고,0.65
ESTP,사교적 네트워킹,0.64
ESTP,자신의 의견 고수,0.63
ESTP,상대방의 감정 이해,0.62
ESTP,상황 분석 능력,0.61
ESTP,즉각적인 행동,0.6
ESTP,자신의 한계 도전,0.59
ESTP,다양한 사람들과의 교류,0.58
ESTP,자신의 경험 공유,0.57
ESTP,자신의 목표 추구,0.56
ESTP,상대방의 의견 존중,0.55
ESTP,자신의 감정 조절,0.54
ESTP,상황에 맞는 행동,0.53
ESTP,자신의 가치관 확립,0.52
ESTP,자신의 정체성 탐구,0.51
ESTP,자신의 선택에 책임,0.5
ESTP,상대방과의 협력,0.49
ESTP,자신의 의견 표현,0.48
ESTP,상대방의 필요 이해,0.47
ESTP,자신의 감정 인식,0.46
ESTP,상황에 대한 직관,0.45
ESTP,자신의 경험 반영,0.44
ESTP,자신의 목표 설정,0.43
ESTP,상대방과의 신뢰 구축,0.42
ESTP,자신의 감정 표현 능력,0.41
ESTJ,조직적,1.0
ESTJ,실용적,0.95
ESTJ,결단력 있는,0.93
ESTJ,책임감 있는,0.92
ESTJ,리더십,0.9
ESTJ,효율적인,0.88
ESTJ,논리적인,0.87
ESTJ,현실적인,0.85
ESTJ,규칙을 중시하는,0.84
ESTJ,신뢰할 수 있는,0.83
ESTJ,목표 지향적인,0.82
ESTJ,직설적인,0.81
ESTJ,체계적인,0.8
ESTJ,결과 지향적인,0.79
ESTJ,실행력 있는,0.78
ESTJ,전통적인,0.77
ESTJ,자신감 있는,0.76
ESTJ,사교적인,0.75
ESTJ,결과를 중시하는,0.74
ESTJ,신속한,0.73
ESTJ,분석적인,0.72
ESTJ,정확한,0.71
ESTJ,실제적인,0.7
ESTJ,주도적인,0.69
ESTJ,자기주장이 강한,0.68
ESTJ,비판적인,0.67
ESTJ,결정적인,0.66
ESTJ,신속한 판단력,0.65
ESTJ,상황 판단이 빠른,0.64
ESTJ,명확한,0.63
ESTJ,실용적인 해결책을 찾는,0.62
ESTJ,자기 관리가 잘 되는,0.61
ESTJ,상황에 적응하는,0.6
ESTJ,자신의 의견을 강하게 표현하는,0.59
ESTJ,효율성을 중시하는,0.58
ESTJ,문제 해결 능력이 뛰어난,0.57
ESTJ,사실에 기반한,0.56
ESTJ,구체적인,0.55
ESTJ,신뢰를 주는,0.54
ESTJ,상황을 분석하는,0.53
ESTJ,자신의 목표를 추구하는,0.52
ESTJ,상대방의 의견을 존중하는,0.51
ESTJ,자기 주도적인,0.5
ESTJ,상황을 명확히 이해하는,0.49
ESTJ,결과를 평가하는,0.48
ESTJ,자신의 신념을 지키는,0.47
ESTJ,상대방을 설득하는,0.46
ESTJ,자신의 경험을 중시하는,0.45
ESTJ,상황을 정리하는,0.44
ESTJ,자신의 기준을 세우는,0.43
ESTJ,상대방의 요구를 이해하는,0.42
ESTJ,자신의 의견을 고수하는,0.41
ESFP,사교적,1.0
ESFP,즉흥적,0.95
ESFP,활기찬,0.93
ESFP,감정적,0.92
ESFP,모험심이 강한,0.9
ESFP,사랑스러운,0.89
ESFP,유연한,0.88
ESFP,창의적인,0.87
ESFP,재미있는,0.86
ESFP,관심이 많은,0.85
ESFP,즉각적인,0.84
ESFP,자유로운,0.83
ESFP,사려 깊은,0.82
ESFP,긍정적인,0.81
ESFP,감각적인,0.8
ESFP,열정적인,0.79
ESFP,친근한,0.78
ESFP,자신감 있는,0.77
ESFP,즉각적인 반응,0.76
ESFP,사람을 좋아하는,0.75
ESFP,자유로운 영혼,0.74
ESFP,사교적인,0.73
ESFP,다양성을 존중하는,0.72
ESFP,감정적으로 개방적인,0.71
ESFP,상황에 적응하는,0.7
ESFP,즉각적인 즐거움을 추구하는,0.69
ESFP,사람들과의 관계를 중시하는,0.68
ESFP,자연을 사랑하는,0.67
ESFP,자신의 감정을 표현하는,0.66
ESFP,다양한 경험을 추구하는,0.65
ESFP,자신의 감각을 신뢰하는,0.64
ESFP,즉각적인 피드백을 선호하는,0.63
ESFP,사람들에게 영감을 주는,0.62
ESFP,자신의 직관을 따르는,0.61
ESFP,자유롭게 표현하는,0.6
ESFP,사람들과의 상호작용을 즐기는,0.59
ESFP,즉각적인 반응을 보이는,0.58
ESFP,자신의 감정을 솔직하게 드러내는,0.57
ESFP,사람들과의 유대감을 중시하는,0.56
ESFP,자신의 감각을 중시하는,0.55
ESFP,즉각적인 즐거움을 추구하는,0.54
ESFP,사람들과의 관계를 소중히 여기는,0.53
ESFP,자신의 감정을 솔직하게 표현하는,0.52
ESFP,사람들과의 상호작용을 즐기는,0.51
ESFP,즉각적인 반응을 보이는,0.5
ESFJ,사교적,1.0
ESFJ,배려심이 깊은,0.95
ESFJ,조직적인,0.93
ESFJ,신뢰할 수 있는,0.92
ESFJ,친절한,0.91
ESFJ,협력적인,0.9
ESFJ,사람 중심의,0.89
ESFJ,감정이 풍부한,0.88
ESFJ,책임감 있는,0.87
ESFJ,긍정적인,0.86
ESFJ,실용적인,0.85
ESFJ,충성스러운,0.84
ESFJ,정직한,0.83
ESFJ,사려 깊은,0.82
ESFJ,열정적인,0.81
ESFJ,유연한,0.8
ESFJ,사람을 잘 이해하는,0.79
ESFJ,상냥한,0.78
ESFJ,의사소통이 원활한,0.77
ESFJ,가족 중심의,0.76
ESFJ,전통적인,0.75
ESFJ,사교성이 뛰어난,0.74
ESFJ,적극적인,0.73
ESFJ,감정적으로 안정된,0.72
ESFJ,상대방을 존중하는,0.71
ESFJ,사람들과 잘 어울리는,0.7
ESFJ,신중한,0.69
ESFJ,이해심 많은,0.68
ESFJ,친근한,0.67
ESFJ,사람들에게 긍정적인 영향을 주는,0.66
ESFJ,상대방의 기분을 잘 살피는,0.65
ESFJ,도움이 되는,0.64
ESFJ,사람들을 잘 이끄는,0.63
ESFJ,자신의 감정을 잘 표현하는,0.62
ESFJ,상대방을 배려하는,0.61
ESFJ,사람들과의 관계를 중시하는,0.6
ESFJ,긍정적인 에너지를 주는,0.59
ESFJ,상대방의 필요를 잘 이해하는,0.58
ESFJ,사람들에게 영감을 주는,0.57
ESFJ,상대방을 격려하는,0.56
ESFJ,사람들과의 유대감을 중요시하는,0.55
ESFJ,상대방의 기분을 잘 맞추는,0.54
ESFJ,사람들에게 긍정적인 피드백을 주는,0.53
ESFJ,상대방의 의견을 존중하는,0.52
ESFJ,사람들과의 소통을 즐기는,0.51
ESFJ,상대방의 감정을 잘 이해하는,0.5
ISTP,실용적,1.0
ISTP,분석적,0.95
ISTP,유연함,0.93
ISTP,독립적,0.92
ISTP,문제 해결 능력,0.9
ISTP,호기심,0.88
ISTP,즉흥적,0.87
ISTP,객관적,0.85
ISTP,실험적,0.84
ISTP,자신감,0.83
ISTP,모험심,0.82
ISTP,비판적 사고,0.81
ISTP,효율적,0.8
ISTP,직관적,0.79
ISTP,신속한 결정,0.78
ISTP,자율성,0.77
ISTP,실용적인 지식,0.76
ISTP,관찰력,0.75
ISTP,자기주도적,0.74
ISTP,비교적 차분함,0.73
ISTP,기술적 능력,0.72
ISTP,창의적,0.71
ISTP,사고의 유연성,0.7
ISTP,실제적,0.69
ISTP,신뢰성,0.68
ISTP,사교적이지 않음,0.67
ISTP,자기 표현이 적음,0.66
ISTP,비전통적,0.65
ISTP,자연 친화적,0.64
ISTP,신중함,0.63
ISTP,자기 반성적,0.62
ISTP,상황 적응력,0.61
ISTP,비교적 내성적,0.6
ISTP,자기 통제,0.59
ISTP,실용적인 접근,0.58
ISTP,비판적,0.57
ISTP,자기 중심적,0.56
ISTP,비교적 감정적 거리,0.55
ISTP,기술적 사고,0.54
ISTP,상황 판단 능력,0.53
ISTP,자기 주도적 학습,0.52
ISTP,실용적인 해결책,0.51
ISTP,비교적 조용함,0.5
ISTP,자기 주도적 행동,0.49
ISTP,비교적 독립적,0.48
ISTP,상황에 따른 유연성,0.47
ISTP,비교적 실용적,0.46
ISTP,자기 주도적 결정,0.45
ISTP,비교적 실질적,0.44
ISTP,상황에 대한 이해,0.43
ISTP,비교적 직관적,0.42
ISTP,자기 주도적 탐구,0.41
ISTJ,신뢰성,1.0
ISTJ,책임감,0.95
ISTJ,조직적,0.93
ISTJ,실용적,0.92
ISTJ,세부적,0.9
ISTJ,논리적,0.88
ISTJ,보수적,0.87
ISTJ,인내심,0.85
ISTJ,결단력,0.84
ISTJ,현실적,0.83
ISTJ,신중함,0.82
ISTJ,규칙 준수,0.81
ISTJ,성실함,0.8
ISTJ,체계적,0.79
ISTJ,실질적,0.78
ISTJ,신뢰할 수 있는,0.77
ISTJ,계획적,0.76
ISTJ,자기 통제,0.75
ISTJ,객관적,0.74
ISTJ,근면성,0.73
ISTJ,전통적,0.72
ISTJ,결과 지향적,0.71
ISTJ,실제적,0.7
ISTJ,신중한,0.69
ISTJ,일관성,0.68
ISTJ,자기 주도적,0.67
ISTJ,사실 중심,0.66
ISTJ,효율적,0.65
ISTJ,신뢰성 있는,0.64
ISTJ,분석적,0.63
ISTJ,결정적,0.62
ISTJ,실용주의,0.61
ISTJ,정확성,0.6
ISTJ,자기 관리,0.59
ISTJ,사려 깊은,0.58
ISTJ,비판적 사고,0.57
ISTJ,신뢰할 수 있는,0.56
ISTJ,목표 지향적,0.55
ISTJ,자기 통제력,0.54
ISTJ,실제적 문제 해결,0.53
ISTJ,정직함,0.52
ISTJ,사실 기반,0.51
ISTJ,전문적,0.5
ISTJ,신중한 결정,0.49
ISTJ,체계적 사고,0.48
ISTJ,자기 규율,0.47
ISTJ,신뢰성 있는 판단,0.46
ISTJ,실용적 접근,0.45
ISTJ,일관된 행동,0.44
ISTJ,사실적,0.43
ISTJ,효율적인,0.42
ISTJ,전문성,0.41
ISFP,예술적,1.0
ISFP,감정적,0.95
ISFP,자유로운,0.93
ISFP,즉흥적인,0.92
ISFP,개인적인,0.9
ISFP,온화한,0.88
ISFP,감각적인,0.87
ISFP,친절한,0.85
ISFP,사려 깊은,0.84
ISFP,모험적인,0.83
ISFP,유연한,0.82
ISFP,직관적인,0.8
ISFP,사교적인,0.78
ISFP,자연을 사랑하는,0.77
ISFP,개성 있는,0.75
ISFP,조용한,0.74
ISFP,신중한,0.73
ISFP,감정이입하는,0.72
ISFP,자기 표현이 강한,0.7
ISFP,관찰력이 뛰어난,0.68
ISFP,자유로운 영혼,0.67
ISFP,비판적이지 않은,0.65
ISFP,사려 깊은,0.64
ISFP,신뢰할 수 있는,0.63
ISFP,감정적으로 민감한,0.62
ISFP,자기 주도적인,0.6
ISFP,창의적인,0.58
ISFP,자연 친화적인,0.57
ISFP,유머 감각이 있는,0.55
ISFP,사람을 잘 이해하는,0.54
ISFP,자기 반성적인,0.52
ISFP,감정적으로 안정적인,0.5
ISFP,자기 표현이 풍부한,0.48
ISFP,사람들과 잘 어울리는,0.47
ISFP,자기 중심적인,0.45
ISFP,자신감 있는,0.43
ISFP,상상력이 풍부한,0.42
ISFP,자기 비판적인,0.4
ISFP,감정적으로 깊이 있는,0.38
ISFP,자기 주장이 강한,0.37
ISFP,사람들에게 영감을 주는,0.35
ISFP,자기 개발에 관심이 많은,0.33
ISFP,자신의 감정을 잘 표현하는,0.32
ISFP,자기 인식이 높은,0.3
ISFP,자신의 가치관이 뚜렷한,0.28
ISFP,자신의 감정을 잘 이해하는,0.25
ISFP,자신의 정체성을 찾는,0.23
ISFP,자신의 감정을 잘 조절하는,0.2
ISFP,자신의 목표를 잘 설정하는,0.18
ISFP,자신의 감정을 잘 관리하는,0.15
ISFP,자신의 감정을 잘 수용하는,0.12
ISFP,자신의 감정을 잘 표현하는,0.1
ISFJ,세심함,1.0
ISFJ,책임감,0.95
ISFJ,신뢰성,0.93
ISFJ,배려심,0.92
ISFJ,충실함,0.9
ISFJ,조화로움,0.88
ISFJ,인내심,0.87
ISFJ,실용적,0.85
ISFJ,전통적,0.84
ISFJ,사려 깊음,0.83
ISFJ,협력적,0.82
ISFJ,온화함,0.81
ISFJ,정직함,0.8
ISFJ,조심성,0.79
ISFJ,감정적 지능,0.78
ISFJ,신중함,0.77
ISFJ,사교적,0.76
ISFJ,유연성,0.75
ISFJ,자기 희생,0.74
ISFJ,신중한 결정,0.73
ISFJ,상세 지향적,0.72
ISFJ,정서적 안정성,0.71
ISFJ,친절함,0.7
ISFJ,이해심,0.69
ISFJ,조화 추구,0.68
ISFJ,신뢰 구축,0.67
ISFJ,사려 깊은 조언,0.66
ISFJ,자기 반성,0.65
ISFJ,감정적 지원,0.64
ISFJ,상대방 존중,0.63
ISFJ,안정성 추구,0.62
ISFJ,사람 중심,0.61
ISFJ,정서적 연결,0.6
ISFJ,신뢰할 수 있는 친구,0.59
ISFJ,상대방의 필요 이해,0.58
ISFJ,긍정적 태도,0.57
ISFJ,상대방의 감정 존중,0.56
ISFJ,조화로운 관계,0.55
ISFJ,상대방의 의견 수용,0.54
ISFJ,자기 관리,0.53
ISFJ,상대방의 기분 고려,0.52
